Crop,Precipitation (mm day),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
Cotton,152.19,14.51,47.64,30.85,1.213
Barley,94.25,7.07,45.54,8.54,1.495
Cotton,71.17,17.38,62.01,29.6,1.443
Cotton,120.9,12.04,43.61,29.4,2.669
Soybean,82.54,13.51,69.4,22.06,2.199
Barley,49.6,8.0,51.01,17.82,2.495
Sugarcane,164.83,16.79,77.25,32.61,53.999
Sugarcane,201.57,14.69,84.92,27.11,63.872
Soybean,142.06,11.7,63.2,19.52,3.21
Maize,95.67,13.78,56.39,23.78,5.51
Sugarcane,217.22,19.14,62.81,26.17,81.574
Cotton,135.53,16.17,48.64,29.53,1.88
Barley,70.53,7.62,48.72,19.59,2.956
Wheat,93.86,8.39,55.69,12.39,1.506
Sugarcane,258.48,16.6,70.3,22.43,48.889
Maize,157.03,13.43,66.59,19.67,4.023
Wheat,93.66,9.5,54.55,20.52,2.909
Rice,241.09,16.58,76.26,29.07,3.947
Maize,130.0,13.74,60.06,23.88,5.284
Rice,160.66,21.04,65.1,22.96,3.698
Barley,50.69,5.47,38.91,18.47,2.318
Rice,261.65,17.95,84.34,21.57,4.698
Cotton,98.28,17.07,35.7,31.77,1.311
Maize,140.48,10.73,60.87,19.49,2.695
Wheat,62.7,10.06,49.86,18.44,2.922
Barley,56.16,10.9,46.68,8.61,1.757
Rice,174.18,16.73,72.58,21.21,3.831
Maize,132.04,11.51,52.69,25.36,6.267
Wheat,47.2,6.76,59.48,19.43,3.018
Wheat,44.04,8.35,40.86,13.07,3.146
Cotton,174.01,17.7,52.2,29.58,1.352
Soybean,105.45,12.43,57.03,22.93,2.234
Cotton,150.99,16.18,39.62,31.79,1.082
Maize,147.98,10.36,62.3,19.68,3.084
Rice,234.02,20.97,73.38,22.09,4.718
Cotton,77.99,13.38,56.67,30.64,1.636
Cotton,98.75,16.77,43.12,27.27,1.2
Cotton,120.32,12.31,43.36,32.9,1.28
Rice,196.88,21.26,88.6,21.79,3.658
Rice,152.14,19.36,78.18,28.63,4.261
Wheat,67.15,10.82,57.54,12.85,1.787
Soybean,86.71,11.85,51.32,25.51,1.573
Rice,169.4,16.91,70.63,23.01,4.737
Wheat,89.38,8.57,46.06,19.09,3.544
Soybean,95.25,13.57,54.02,26.4,2.945
Sugarcane,205.39,15.89,62.17,24.68,57.18
Soybean,105.62,15.06,60.13,29.18,1.631
Soybean,143.97,14.79,63.57,19.55,2.381
Wheat,102.03,11.61,57.91,18.9,3.011
Sugarcane,221.23,14.69,77.37,27.3,86.782
Maize,103.92,15.26,67.63,23.92,4.189
Rice,212.48,16.41,65.65,21.62,5.322
Soybean,93.27,12.32,61.61,23.2,2.989
Rice,186.05,19.67,75.28,30.08,4.787
Sugarcane,245.62,18.8,71.43,29.28,62.698
Sugarcane,168.38,16.86,61.11,33.65,62.942
Cotton,104.91,14.22,59.38,33.37,2.065
Maize,85.2,10.32,62.94,23.71,5.645
Rice,227.86,18.39,72.57,20.79,3.271
Maize,118.63,15.11,68.94,24.79,5.431
Rice,234.44,17.71,68.35,27.55,3.217
Rice,258.14,21.48,80.31,30.48,4.536
Sugarcane,232.53,17.43,61.67,23.4,66.379
Wheat,84.26,7.19,45.46,20.51,2.014
Wheat,102.86,6.5,44.83,11.4,1.318
Rice,293.15,19.13,80.59,21.07,4.249
Cotton,90.03,15.3,56.44,29.92,1.332
Barley,60.16,8.88,31.12,8.76,2.144
Soybean,181.61,15.99,60.09,22.0,2.17
Barley,98.45,8.19,52.63,9.16,1.238
Wheat,108.68,9.9,55.11,20.01,2.418
Soybean,181.44,15.36,74.52,19.87,1.904
Barley,93.32,8.11,41.39,8.43,1.916
Maize,108.62,10.45,47.65,28.05,3.356
Soybean,139.16,11.49,54.9,29.33,3.558
Sugarcane,206.1,16.83,74.34,33.13,71.927
Sugarcane,147.95,19.4,83.18,26.83,90.454
Barley,38.15,6.26,44.15,16.62,1.367
Rice,203.02,20.64,84.32,26.26,6.03
Barley,50.21,5.3,36.71,17.16,2.341
Rice,153.06,21.78,83.17,23.66,14.377673155411967
Soybean,180.12,14.46,66.16,23.5,2.648
Cotton,82.88,12.22,49.16,28.78,1.084
Wheat,40.63,9.54,50.33,18.93,1.794
Wheat,56.13,6.01,53.23,23.54,1.964
Barley,95.85,8.12,39.12,20.23,1.627
Cotton,167.42,15.07,50.96,23.29,1.202
